Light,Phosphorus,Treatment,Day,Micro_Rep,Count_Rep,Squares_Counted,Observer,Unknown_Class,Diatoms,Green Algae,Cyanobacteria,Chrysophytes,Cryptophytes,Dinoflagellates,Euglena
Blue,High,Blue_HP,0,1,1,7,JS,0,285.7142857,142.8571429,0,0,73142.85714,0,0
Blue,High,Blue_HP,0,1,2,21,JS,0,1285.714286,714.2857143,2285.714286,0,142.8571429,0,0
Blue,High,Blue_HP,0,1,3,28,JS,0,285.7142857,107.1428571,142.8571429,0,821.4285714,0,0
Blue,High,Blue_HP,0,2,1,28,JS,35.71428571,0,607.1428571,892.8571429,0,0,0,0
Blue,High,Blue_HP,0,2,2,28,JS,71.42857143,0,500,1357.142857,0,0,0,0
Blue,High,Blue_HP,0,2,3,28,JS,0,0,500,1107.142857,0,0,0,0
Blue,High,Blue_HP,0,3,1,21,JS,333.3333333,95.23809524,3571.428571,0,0,0,0,0
Blue,High,Blue_HP,0,3,2,28,JS,107.1428571,0,678.5714286,857.1428571,0,0,0,0
Blue,High,Blue_HP,0,3,3,28,JS,71.42857143,0,392.8571429,142.8571429,0,0,0,0
Blue,Low,Blue_LP,0,1,1,28,JS,35.71428571,35.71428571,214.2857143,0,0,0,0,0
Blue,Low,Blue_LP,0,1,2,14,JS,71.42857143,71.42857143,71.42857143,0,0,7142.857143,0,0
Blue,Low,Blue_LP,0,1,3,28,JS,214.2857143,35.71428571,2857.142857,0,0,0,0,0
Blue,Low,Blue_LP,0,2,1,14,JS,0,0,1571.428571,285.7142857,0,8214.285714,0,71.42857143
Blue,Low,Blue_LP,0,2,2,21,JS,0,142.8571429,571.4285714,1904.761905,0,1714.285714,0,0
Blue,Low,Blue_LP,0,2,3,7,JS,0,428.5714286,857.1428571,0,0,22571.42857,0,0
Blue,Low,Blue_LP,0,3,1,28,JS,71.42857143,0,750,464.2857143,0,0,0,0
Blue,Low,Blue_LP,0,3,2,28,JS,0,0,1214.285714,1500,35.71428571,35.71428571,35.71428571,0
Blue,Low,Blue_LP,0,3,3,28,JS,35.71428571,35.71428571,2428.571429,35.71428571,0,142.8571429,0,0
Broad,High,Broad_HP,0,1,1,21,DA,190.4761905,1809.52381,666.6666667,3619.047619,47.61904762,47.61904762,47.61904762,47.61904762
Broad,High,Broad_HP,0,1,2,21,DA,0,0,0,1476.190476,0,0,0,0
Broad,High,Broad_HP,0,1,3,7,DA,0,0,1714.285714,0,0,12857.14286,0,0
Broad,High,Broad_HP,0,2,1,7,DA,0,142.8571429,2000,12285.71429,0,0,0,0
Broad,High,Broad_HP,0,2,2,21,DA,95.23809524,0,2047.619048,2761.904762,0,0,0,0
Broad,High,Broad_HP,0,2,3,14,DA,0,0,785.7142857,1142.857143,0,15428.57143,0,0
Broad,High,Broad_HP,0,3,1,28,JS,71.42857143,0,392.8571429,714.2857143,35.71428571,0,35.71428571,0
Broad,High,Broad_HP,0,3,2,28,JS,71.42857143,0,750,107.1428571,35.71428571,0,35.71428571,0
Broad,High,Broad_HP,0,3,3,28,JS,178.5714286,0,642.8571429,2321.428571,0,0,0,0
Broad,Low,Broad_LP,0,1,1,14,JS,0,0,785.7142857,0,0,8285.714286,0,71.42857143
