Light,Phosphorus,Treatment,Day,Micro_Rep,Count_Rep,Squares_Counted,Observer,Anabaena,Ankistrodesmus_sp,Aphanizomenon,Aphanocapsa,Closteriopsis,Closterium aciculare,Closterium_sp,Coelastrum,Cosmarium,Crucigenia,Crypto 2,Crypto Sp 1,Desmodesmus_sp,Didymogenes,Euglena,Franceia,Golenkinia,Green_dots,Jaaginema,Kirchinella,Limnothrix,Monoraphidium_sp,M_arcuatum,M_contortum,Mallomonas_sp,Merismopedia,Mougeotia,Navicula,Nephrocytium,Nitzschia_sp,Oocystis_sp,Pair_spherical_greens,Polyedriopsis,Pseudanabaena,Scenedesmus_sp,Selenastrum,Slippers,Small_cresecent_green,Staurastrum_sp,Staurodesmus,Synedra,Synura_sp,Tetraedron,Tetrabaena,Trachelomonas_sp,Ulnaria_sp,Volvox,Unknown_cyano,Unknown_diatom,Unknown_dino,Unknown_filamentous_green,Unknown_flagellated_greens,Unknown_non_flagellated_green,Unkown_filamentous_cyano,Unknown
Blue,High,Blue_HP,0,1,1,7,JS,0,0,0,0,0,0,0,0,0,0,24571.42857,48571.42857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.7142857,0,0,142.8571429,0,0,0
Blue,High,Blue_HP,0,1,2,21,JS,0,0,0,2285.714286,0,0,0,0,0,0,0,142.8571429,0,0,0,0,0,0,0,0,0,0,0,95.23809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.714286,0,47.61904762,571.4285714,0,0,0
Blue,High,Blue_HP,0,1,3,28,JS,0,0,0,142.8571429,0,0,0,0,0,0,607.1428571,214.2857143,0,0,0,0,0,0,0,0,0,0,0,107.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.7142857,0,0,0,0,0,0
Blue,High,Blue_HP,0,2,1,28,JS,0,0,0,892.8571429,0,0,0,0,0,142.8571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.71428571,428.5714286,0,35.71428571
Blue,High,Blue_HP,0,2,2,28,JS,0,0,0,1357.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.2857143,0,0
Blue,High,Blue_HP,0,2,3,28,JS,0,0,0,214.2857143,0,0,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892.8571429,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0,0,428.5714286,0,0
Blue,High,Blue_HP,0,3,1,21,JS,0,142.8571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.8571429,0,0,190.4761905,0,0,0,0,0,0,0,0,0,0,0,285.7142857,0,0,0,0,0,0,0,0,0,0,47.61904762,190.4761905,0,95.23809524,0,0,0,0,0,47.61904762,2809.52381,0,47.61904762
Blue,High,Blue_HP,0,3,2,28,JS,0,0,0,857.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.8571429,0,71.42857143
Blue,High,Blue_HP,0,3,3,28,JS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0,0,0,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,142.8571429,0,0,0,0,357.1428571,0,0
Blue,Low,Blue_LP,0,1,1,28,JS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,178.5714286,0,35.71428571
Blue,Low,Blue_LP,0,1,2,14,JS,0,0,0,0,0,0,0,0,0,0,2571.428571,4571.428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.42857143,0,0,0,71.42857143,0,71.42857143
Blue,Low,Blue_LP,0,1,3,28,JS,0,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0,0,35.71428571,0,0,107.1428571,0,0,0,71.42857143,0,0,0,0,71.42857143,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,142.8571429,0,35.71428571,0,0,0,0,0,250,2142.857143,0,142.8571429
Blue,Low,Blue_LP,0,2,1,14,JS,0,214.2857143,0,285.7142857,0,0,0,0,0,0,5071.428571,3142.857143,0,0,71.42857143,0,0,0,0,0,0,0,0,285.7142857,0,0,0,0,0,0,0,0,0,0,285.7142857,0,0,0,0,0,0,0,71.42857143,0,0,0,0,0,0,0,0,642.8571429,71.42857143,0,0
Blue,Low,Blue_LP,0,2,2,21,JS,0,0,0,1904.761905,0,0,0,0,47.61904762,0,666.6666667,1047.619048,0,0,0,0,0,0,0,0,0,0,0,47.61904762,0,0,0,0,0,0,0,0,0,0,190.4761905,0,0,0,0,0,0,0,0,0,0,0,0,0,142.8571429,0,0,238.0952381,47.61904762,0,0
Blue,Low,Blue_LP,0,2,3,7,JS,0,0,0,0,0,0,0,0,0,0,17285.71429,5285.714286,0,0,0,0,0,0,0,0,0,0,0,285.7142857,0,0,0,0,0,285.7142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.8571429,0,0,0,0,0,571.4285714,0,0,0
Blue,Low,Blue_LP,0,3,1,28,JS,0,0,0,357.1428571,0,0,35.71428571,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,107.1428571,0,0,0,0,678.5714286,0,0
Blue,Low,Blue_LP,0,3,2,28,JS,0,0,0,1464.285714,0,0,0,0,0,0,35.71428571,0,71.42857143,0,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.71428571,0,0,0,0,0,0,0,0,35.71428571,0,35.71428571,0,71.42857143,1000,0,0
